id,city,route_type,hour,day_of_week,is_weekend,day_of_month,rainfall_mm,fuel_price_index,population_density_index,avg_income_index,previous_hour_demand,random_index_1,random_index_2,noise_factor,peak
0,Dodoma,residential,14,2,0,8,1.1049590556246365,1.0318902184689382,0.40919616423534183,0.3406585285177396,106.61761457749351,-0.580878134023515,18.34045098534338,D,0
1,Mwanza,market,11,0,0,17,5.798641542574818,0.7560894184943977,0.33266596424953077,0.9816288631890213,43.27713404303042,0.6034412250381314,61.838600933308726,D,1
2,Dodoma,mixed,2,4,0,19,5.799017190959927,1.1912771271359208,0.30928547281190655,0.959541228979397,76.32882178455392,0.7791926345150046,60.99966577826209,D,0
3,Arusha,market,16,3,0,18,1.1912179492013326,0.8734880886077357,0.6640476148244676,0.6826971955402957,38.485445552552704,1.0919922643576712,77.51328233611146,B,0
4,Mwanza,market,3,5,1,31,1.9273172570791388,0.8416705786463112,0.4899443222417271,0.8801162564063505,55.67533266935893,-1.1305523046815669,80.21969807540397,A,1
5,Dar,business,8,0,0,12,11.075431061024176,1.063630510834517,0.8531228783718439,0.7241719823467079,112.63008785133489,-0.9067206685799298,91.49596755437808,A,1
6,Dodoma,market,0,6,1,23,19.69737873706501,1.1233496804543057,0.7139084513954089,0.4923052550930449,76.12434258477012,-0.93376284091205,25.606832276132398,C,1
7,Dar,business,14,1,0,10,16.273665501231505,0.8619282975727748,0.9270345169714636,0.6327591562274781,76.32755719763837,-0.2808062915267532,13.93314544058757,C,1
8,Mbeya,business,10,4,0,4,11.086030635811891,1.0608089662000961,0.7863494531277931,0.9163274873106804,82.43540481337932,-0.10525713400117943,21.84404372168336,D,1
9,Arusha,mixed,22,3,0,25,2.3572284422583625,0.9297946906122647,0.45955461377935913,0.5989754520383794,101.80147659224932,-0.3276621465977682,0.6952130531190703,D,0
10,Arusha,residential,4,0,0,19,2.7441021967609567,0.9182645844877171,0.4178037295210514,0.45313495370114915,75.81020020173412,-0.015483340011778864,24.68760628386012,C,0
11,Mwanza,business,16,4,0,17,9.780988435318731,0.9935621949199033,0.32313551303038385,0.5415498736186781,83.43513447013638,0.3449023350447285,53.09345833171364,B,1
12,Dodoma,business,10,2,0,17,3.5853772532024495,1.1384015718932678,0.7426140814155056,0.7434707975326262,73.57746840747585,-0.49343248220332664,18.651851039985424,A,1
13,Arusha,mixed,3,2,0,26,17.385300866735623,0.8449336568933867,0.7516209532866149,0.422056500303494,89.09377381024659,0.06856297480602733,93.67299887367345,A,0
14,Arusha,mixed,17,6,1,31,7.146039793854447,1.0556121798533966,0.7619888322239252,0.872055540140851,75.52008115994623,-0.32449095782889326,89.72157579533267,A,1
15,Arusha,business,8,0,0,3,8.35306626323596,1.0816152722881371,0.8994270043146646,0.583155688985533,108.77700987609597,0.47170729152697877,93.56349942209475,D,1
16,Dodoma,market,2,5,1,25,11.398664095931771,0.8783145107640761,0.7843266383848853,0.7563728816518203,42.426930946055975,-0.7511794246639284,74.64914051180241,D,0
17,Arusha,residential,0,3,0,27,0.9565755750357585,0.8630128943283704,0.4707927503653585,0.9811073883267118,59.30977246667604,-0.7717807494932586,63.11386259972629,B,0
18,Mbeya,market,0,3,0,15,0.0,0.9965470343905192,0.8057164806830537,0.496540653708599,22.431596643145383,-0.1241323888816596,96.66548190436696,C,0
19,Dodoma,residential,19,6,1,29,15.92272654358191,1.1045571168346318,0.5218454036093944,0.4186449226802647,75.68012624583501,-0.34214171260538123,69.6029796674973,D,0
20,Mwanza,mixed,14,5,1,23,10.465669747567999,0.8857029702169377,0.9141611503495688,0.818538032427943,89.7015740995268,-1.377669367957091,80.93611554785136,C,0
21,Mwanza,residential,23,4,0,28,2.4973996806790177,1.0515047686306047,0.8588066252767426,0.7549747515444356,90.19668772577033,3.852731490654721,89.00053418175663,C,0
22,Dodoma,market,1,6,1,31,9.682910863683047,0.9465337258149936,0.6798512442953035,0.500578876489799,79.08332605690107,-0.8931202736292231,52.224326005480435,A,1
23,Dodoma,mixed,11,4,0,7,7.32146202084213,1.2389035957392462,0.7462009310487445,0.808263933605863,117.58520794625346,1.8434137583205332,32.2956472941246,A,0
24,Arusha,mixed,22,1,0,5,24.250328616210936,0.9322584332285243,0.3407355168559105,0.9406496093385364,64.23522297311044,0.18385551440955836,51.66962574265666,D,1
25,Mbeya,market,22,2,0,12,14.623177080790677,0.8816426832055462,0.3841152534639495,0.5393157667014811,29.179906581344188,0.22897043223043761,31.141330939129418,B,1
26,Dodoma,residential,11,1,0,26,0.0,0.897561235866571,0.4212413089370106,0.6036961544665811,59.85047343973734,-0.44004448669698376,37.46126146264712,B,0
27,Arusha,market,0,4,0,13,11.04592461828873,0.9797542474168449,0.7100429068914242,0.9581611689974703,77.5474177875879,0.060896607117160384,64.32882184423532,A,1
28,Mbeya,business,10,4,0,12,13.514617120827474,0.9891502111436486,0.9337454493692445,0.43705379435250746,26.936130087516545,-0.4864327660523606,31.89756302937613,B,1
29,Mwanza,market,1,2,0,9,11.66078609028576,1.1951280085735754,0.5438356231172381,0.9556537062989949,23.918632667564626,-0.040085137373003135,96.75805515202475,D,1
30,Mwanza,residential,8,2,0,17,5.078038273844076,1.0382799467150787,0.4750115144512732,0.7063808086407368,106.7116607209722,0.7644782353257112,73.99087604473745,C,1
31,Dar,market,16,0,0,30,1.1106894980472184,0.7543406854226605,0.5083446221565175,0.36998942101330434,25.34852967473689,-0.07653206135154646,84.71431440955898,A,0
32,Dodoma,market,19,2,0,26,3.45423453413222,1.2092387275685461,0.5052475401886452,0.5300651817589411,87.25184560770384,0.6241198170521551,9.120610304869036,B,0
33,Mwanza,business,13,6,1,26,15.02676407411424,1.097511973341775,0.5456405087864551,0.3819469114993241,34.299168205283586,-0.14705738150213865,61.82180633162611,A,0
34,Mbeya,mixed,9,0,0,18,0.0,1.0079009014244056,0.7069137920587476,0.9041969653923028,108.03599686384167,0.18621234389462576,35.02182467003136,D,1
35,Arusha,residential,11,5,1,7,16.60952378923413,1.085765962320202,0.3778382376143059,0.6448375730036013,21.135364476741906,-0.1599385299634271,5.630327568183735,D,0
36,Mbeya,business,8,6,1,1,1.1662256916229357,1.0761571841297597,0.5801560250104174,0.6344004236161593,28.289132169335424,1.3588166333327287,97.79006687542709,A,1
37,Mbeya,business,20,5,1,21,7.709227870672644,1.0473627387727564,0.6661684909191041,0.7405790466946838,89.57486889846172,0.05435057793857113,62.75580800840635,B,1
38,Arusha,mixed,22,0,0,11,9.112544514963918,1.0976309126481103,0.7340928184610757,0.49416682808679285,38.812115972376134,1.0326004040179766,7.773463696498483,A,0
39,Dodoma,mixed,21,6,1,17,0.0,0.9354677790802514,0.7219473174163089,0.4896703497605909,33.318512522374974,-1.6006110090276338,94.05318271353835,C,1
40,Mbeya,business,1,1,0,24,11.136400735340546,1.1037158464944625,0.41538398279590066,0.5878785816097583,97.76022837352255,-0.6157858447677114,82.91642207065144,A,0
41,Mbeya,residential,1,0,0,3,21.489467744622125,1.0218683092276142,0.6740423925206241,0.8249375246289803,111.31657522576428,-0.4843756919693036,72.61208440718481,B,0
42,Mwanza,business,16,4,0,14,4.747768388249461,0.9220919770752125,0.49231225791813615,0.4450593543056395,107.82206674791922,-0.0016359666440979017,47.62106967890142,C,1
43,Arusha,market,11,0,0,22,6.591741291484643,1.0413712799952075,0.6360321769129326,0.5943750450655525,98.46682639443095,1.3420885043059152,80.50446675193619,C,0
44,Dodoma,market,5,1,0,2,16.58682013023172,1.205245274174549,0.36370146373593115,0.8084779228551597,74.74463068991116,-0.2632417125719598,52.36022760150112,A,0
45,Mbeya,residential,3,1,0,24,14.278474320650135,1.0460737067563919,0.3463651844963061,0.33210288648324304,82.08056844220913,0.5861056047234005,20.913079107851416,C,0
46,Arusha,business,14,0,0,23,12.932785968774786,0.9060120213672644,0.4273160590794014,0.5419670983267042,109.67884099060119,-0.9857260463355437,19.228901880867078,C,0
47,Mbeya,residential,17,3,0,10,14.032372124142755,0.9892969640045443,0.44443360288405476,0.5549889027336528,70.34172708548569,-1.035242322419374,3.9312139841098936,A,0
48,Dar,market,14,5,1,11,16.81083411680408,0.9379636277464448,0.8237817832685608,0.4291647135494641,40.93493233367103,2.3741417434005965,36.891363956977244,D,1
49,Mwanza,residential,13,2,0,24,7.51420588306245,1.0400218970407038,0.8911084708435402,0.8247313624060111,23.047215273359416,-0.7845118938133024,35.414667079312544,C,0
50,Dar,business,4,3,0,10,19.51679825027799,1.0223336158696354,0.3624430300984393,0.6747348948108665,43.32164115498012,-2.1766813892721824,64.8822840291576,B,1
51,Dodoma,business,21,1,0,15,6.8717279901560655,0.9559495441126475,0.38930621195689463,0.4986431340591071,56.30822963986351,1.58203818296378,57.077830466891186,D,0
52,Arusha,residential,5,4,0,25,7.108617284584182,0.9761506632615942,0.4070013974290324,0.4721704098691557,36.06813732595557,-0.8285837710187354,89.67654246264252,C,1
53,Arusha,business,7,4,0,4,5.6386464053452485,1.0797484204478314,0.3037100044783238,0.9825470140615997,69.07487792587844,0.14520406028545818,82.08614731533525,B,1
54,Arusha,mixed,18,4,0,12,2.722456398812377,1.0638623649837644,0.8153730285889418,0.6708880162267816,90.72300956444445,0.012951537954094748,93.20143422569342,A,0
55,Arusha,business,0,5,1,18,2.99441006666206,1.206704400175138,0.6842453859222841,0.44121132363116505,88.45715478798333,-1.9449392903707496,13.882477344202037,A,1
56,Dar,residential,10,6,1,24,20.307250721427916,1.0464516605242848,0.3746894750794052,0.8955092220115182,94.59745255487181,-0.5084059548937526,92.64494235897112,D,1
57,Dodoma,mixed,7,2,0,9,0.0652758663557318,1.076284729079812,0.8775928736849581,0.4304834907517009,43.56917460649998,0.6379666990209654,90.7866130462516,A,1
58,Mbeya,market,17,6,1,8,4.588695836127691,0.7769670092374111,0.5109645119148994,0.8233265661233757,70.27203900924792,-0.2391786660301687,54.35528611139886,D,1
59,Arusha,business,18,5,1,6,16.584839805960055,1.1214722059686548,0.7856023251823369,0.4167115319953682,107.86291153734382,-0.8808636444882607,74.14609111390455,C,1
60,Dodoma,residential,5,0,0,1,17.760622223309813,1.0720773049140577,0.4001895898839287,0.4431812152186243,91.40640822236142,-0.4062747293897843,53.648135148459474,C,0
61,Dodoma,residential,23,3,0,24,12.084231896592128,1.3174442137126758,0.6404502373969254,0.5862686239598452,97.18819805982451,0.18224060465665337,59.8442701205227,D,1
62,Dodoma,market,10,2,0,5,0.5777156680611739,0.9319738412806092,0.5965178036943379,0.5015507315330083,81.49502631526545,0.8678490366631822,59.296290525882156,D,0
63,Dodoma,mixed,3,4,0,24,2.5078878600261065,0.9397352194694685,0.34824507755705314,0.35412474584215103,30.424696605180948,1.3018491681600952,91.0686198255713,A,0
64,Mbeya,residential,13,3,0,22,6.212590458396033,1.0951883018028554,0.5180109848319487,0.4591769346139788,80.78943937942587,-0.796502958657587,78.77898887144924,B,0
65,Dar,business,19,0,0,26,15.286201853777124,0.9770120428553614,0.5428672413273594,0.8162508736768239,65.22179408898072,0.6281400134806694,45.24395161326934,C,1
66,Dar,business,19,5,1,21,8.152523758330576,1.0696206364813419,0.7064118451946304,0.7425850015436712,21.309445658833365,-0.26888869055483056,8.534966807864386,A,1
67,Dar,business,0,4,0,30,1.1477927300666373,0.921745629476552,0.9286380026084995,0.443597748337405,39.068772066366655,0.6742804687467753,47.206694510999924,D,1
68,Arusha,market,0,5,1,19,21.108658152322306,0.7340648642950627,0.6085339228567597,0.5805341426127282,75.96403313082179,0.28984226416846787,94.61154621336327,D,1
69,Mwanza,market,18,5,1,2,7.961429853021084,0.9638109028766997,0.40930681815633324,0.8011805601931783,85.89239419101514,-0.06958982291301025,22.197216193294945,D,1
70,Arusha,business,7,5,1,25,5.803837869761811,1.0489374561227918,0.7569222754963123,0.46672794673270857,29.944139275934518,0.7109599682034915,83.02198645669915,D,1
71,Dodoma,residential,21,4,0,14,13.554106491888318,1.0593101257968385,0.3091013464575152,0.35985597159812766,40.78862551460273,-0.3095464393139903,18.143543508979732,D,1
72,Mbeya,mixed,17,1,0,1,5.818215835847684,1.104900922583689,0.4815964034019047,0.5657846857170867,79.02949425148077,-1.280429352496283,55.204718085198024,B,1
73,Mbeya,mixed,2,3,0,26,24.03835345587492,0.9455080913191051,0.9079275831285389,0.6412018387746595,109.45522268940914,0.39913611435207086,42.52135044692334,C,0
74,Dar,market,8,1,0,13,0.0,0.9530561086590454,0.7515379174385306,0.5951927541872972,33.22762111253304,1.1030252667777827,82.25838759116739,D,1
75,Mbeya,market,3,0,0,6,19.211402995717858,0.985130357588778,0.6482254257859233,0.804141807142607,30.657873012867434,-0.6792419167134393,26.368380263461646,C,1
76,Arusha,mixed,1,3,0,13,1.9699368674930344,1.0510296389582323,0.9400883621474718,0.5931393674244512,58.31385282494975,-0.34801308629683886,60.31521094663882,B,0
77,Mbeya,residential,10,2,0,4,11.588466903170335,0.9024126747022667,0.696483248207828,0.6332352815393698,86.36711653626482,1.0536417966078395,73.25720972102503,A,0
78,Mwanza,mixed,14,3,0,19,5.3948973900978086,1.012200981464536,0.6474563730408653,0.7177899942418224,53.424389081696084,-0.0349884904969617,68.84023964277361,B,0
